Nom_Taxonomique;Noms_valides
CHILOMYCTERUS RETICULATIS;Chilomycterus reticulatus
CHILOMYCTERUS RETICULATUS;Chilomycterus reticulatus
CHILOMYCTERUS SP;Chilomycterus sp
CHILOMYCTERUS SP.;Chilomycterus sp
CHILOMYCTERUS SPINOSUS;Chilomycterus spinosus mauretanicus
CHILOMYCTERUS SPINOSUS MAURETANICUS;Chilomycterus spinosus mauretanicus
CHILOMYCTERUS SPINOSUS MAURITAN.;Chilomycterus spinosus mauretanicus
CHILOMYCTERUS SPP.;Chilomycterus sp
CHILOMYCTERUS?·ANTENNATUS;Chilomycterus antennatus
CHILOYCTERUS ANTENNATUS;Chilomycterus antennatus
CHILOYCTERUS RETICULATUS;Chilomycterus reticulatus
CHILOYCTERUS SP;Chilomycterus sp
CHLOROCOMBRUS CHRYSURUS;Chloroscombrus chrysurus
CHLOROPHTALMUS ATLANTICUS;Chlorophthalmus atlanticus
CHLOROPHTHALMUS AGASSIZI;Chlorophthalmus agassizi
CHLOROPHTHALMUS ATLANTICA;Chlorophthalmus atlanticus
CHLOROPHTHALMUS ATLANTICUS;Chlorophthalmus atlanticus
CHLOROPHTHALMUS FRASER BRUENNERI;Parasidus fraserbrunneri
CHLOROPHTHALMUS SP;Chlorophthalmus sp
CHLOROPHTHALMUS SP.;Chlorophthalmus sp
CHLOROPHTHALUS ATLANTICUS;Chlorophthalmus atlanticus
CHLOROSCOMBRUS CHRYSURUS;Chloroscombrus chrysurus
CHLOROTOCUS CRASSICORNIS;Chlorotocus crassicornis
CHONDROSTOMA REGIUM;Chondrostoma regium
CHOROPHTHALMUS ATLANTICUS;Chlorophthalmus atlanticus
CHROIS LINEATUS;Chromis lineatus
CHROMIS CADENATI;Chromis cadenati
CHROMIS CHROMIS;Chromis chromis
CHROMIS LIMBATUS;Chromis limbata
CHROMIS LINEATA;Chromis lineatus
CHROMIS LUMBATUS;Chromis limbata
CHROMIS SP;Chromis sp
CHYLOMICTERUS ANTENNATUS;Chilomycterus antennatus
CHYLOMYCTERUS SPINOSUS;Chylomycterus spinosus
CIGALE;Cigale
CIGALES DE MER;Cigalessmer
CITHARICHTHYS STAMPFLI;Citharichthys stampflii
CITHARICHTHYS STAMPFLII;Citharichthys stampflii
CITHARUS LINGUATULA;Citharus linguatula
CITHARUS MACROLEPIDOTUS;Citharus macrolepidotus
CITHARUS MACROLEPIDOTUS (JUVENILES);Citharus juveniles)
CITHARUS SP;Citharus sp
CITTIS ROSEUS;Cyttopsis rosea
CITTOPSIS  ROSEUS;Cyttopsis rosea
CITTOSUS ROSEUS;Cyttopsis rosea
CITTUS HOLOLEPIS;Zenion hololepis
COELORHYNCHUS COELORHYCHUS;Coelorinchus coelorinchus
COELORHYNCHUS COELORHYNCHUS;Coelorinchus coelorinchus
COELORHYNCHUS SP.;Coelorinchus sp
COELORINCHUS SP;Coelorinchus sp
COLOCONGER CADENATI;Coloconger cadenati
CONGER CONGER;Conger conger
CONGRES INDETERMINES;Congre indetermines
"CONGRES""INDETERMINES";Congre indetermines
CONGRIDAE;Congridae 
CONGRIDAE DIVERS;Congridae divers
COQUILAGES DIVERS;Coquilages divers
COQUILLAGE;Coquillages coquillage
COQUILLAGE + OURSINS;Coquillages oursins
COQUILLAGES;Coquillages coquillages
COQUILLAGES (BIVALVES);Coquillages bivalves
COQUILLAGES + DECHETS;Coquillages dechets
COQUILLAGES + DIVERS;Coquillages divers
COQUILLAGES DIVERS;Coquillages divers
COQUILLES;Coquilles coquilles
COQUILLES DIVERSES;Coquilles diverses
COQUILLES ET OURSINS;Coquilles oursins
CORAIL;Corail
CORAUX;Coraux
CORIS JULIS;Coris julis
CORYPHAENA HIPPURUS;Coryphaena hippurus
CORYPHAENA SP;Coryphaena sp
COTTUNCULOIDES SP.;Cottunculoides sp
COTTUNCULUS SPINOSUS;Cottunculus spinosus
CRABE;Crabe
CRABE SPP;Crabes sp
CRABES;Crabes crabes
